Wall time,Step,Value
1540507194.202608,23464,0.01989610679447651
1540507236.214143,23563,0.0712781473994255
1540507323.360832,23761,0.033528171479701996
1540507517.008551,24157,0.007029267027974129
1540507579.482061,24256,0.019758448004722595
1540507674.472513,24454,0.00775382062420249
1540507762.351128,24652,0.08427757024765015
1540507806.551023,24751,0.04860997200012207
1540507847.909156,24850,0.014090316370129585
1540508022.141306,25246,0.08670628070831299
1540508157.40242,25543,0.08657022565603256
1540508205.989484,25642,0.11159723252058029
1540508254.920849,25741,0.12645912170410156
1540508310.780846,25840,0.009370480664074421
1540508424.892197,26038,0.16793404519557953
1540508603.281913,26434,0.16807131469249725
1540508687.083045,26632,0.05840934067964554
1540508774.377186,26830,0.06546144187450409
1540508817.885742,26929,0.28078514337539673
1540508862.522599,27028,0.11403557658195496
1540508906.962165,27127,0.1070244312286377
1540509057.618522,27424,0.09550553560256958
1540509115.197396,27523,0.11821921169757843
1540509218.645092,27721,0.02793407440185547
1540509301.933291,27919,0.010158098302781582
1540509387.413545,28117,0.017466330900788307
1540509606.408106,28612,0.009274708107113838
1540509698.11856,28810,0.0292421393096447
1540509744.85837,28909,0.08719519525766373
1540509905.030194,29206,0.009466130286455154
1540509964.091358,29305,0.22494037449359894
1540510004.676862,29404,0.07876025140285492
1540510045.790756,29503,0.04458896070718765
1540510089.232039,29602,0.01795174740254879
1540510136.121422,29701,0.01092024426907301
1540510177.46323,29800,0.11762742698192596
1540510218.906758,29899,0.03671511262655258
1540510262.460776,29998,0.06124580651521683
1540510435.194401,30394,0.0731685608625412
1540510479.234492,30493,0.018819179385900497
1540510577.647206,30691,0.01590016856789589
1540510751.603178,30988,0.05837830901145935
1540510922.809479,31384,0.05151417478919029
1540510964.872361,31483,0.01022117119282484
1540511006.729962,31582,0.0366971381008625
1540511050.641836,31681,0.01057281345129013
1540511136.156044,31879,0.025931835174560547
1540511225.612217,32077,0.0801796242594719
1540511271.459178,32176,0.1788133680820465
1540511320.254668,32275,0.13438484072685242
1540511374.024745,32374,0.17131736874580383
1540511534.800787,32671,0.012494447641074657
1540511575.227788,32770,0.030056172981858253
1540511660.678143,32968,0.1774590015411377
1540511830.041988,33364,0.13106362521648407
1540511917.413506,33562,0.2470608949661255
1540512012.812354,33760,0.022388430312275887
1540512059.149271,33859,0.018389325588941574
1540512106.93244,33958,0.08584892749786377
1540512160.407534,34057,0.07110962271690369
1540512218.251481,34156,0.06883910298347473
1540512320.267218,34354,0.04024249687790871
1540512361.152968,34453,0.039290886372327805
1540512487.266415,34750,0.23227989673614502
1540512580.005469,34948,0.01323001366108656
1540512622.177212,35047,0.031642358750104904
1540512713.470292,35245,0.011140690185129642
1540512805.819828,35443,0.07870043814182281
1540512851.784319,35542,0.04749906435608864
1540512900.050954,35641,0.013243417255580425
1540513024.960531,35839,0.03310388699173927
1540513078.50022,35938,0.07736528664827347
1540513119.386425,36037,0.03993074595928192
1540513166.24719,36136,0.037896521389484406
1540513251.781485,36334,0.1899595707654953
1540513292.998505,36433,0.06512261182069778
1540513378.159709,36631,0.021092498674988747
1540513419.194686,36730,0.09845340996980667
1540513507.652201,36928,0.13996626436710358
1540513599.932291,37126,0.37086424231529236
1540513646.943947,37225,0.00629003532230854
1540513696.086292,37324,0.08186793327331543
1540513758.859755,37423,0.004003642592579126
1540513818.360735,37522,0.09129130095243454
1540513905.148844,37720,0.009684490039944649
1540513945.634249,37819,0.13228432834148407
1540514072.560037,38116,0.15014828741550446
1540514119.531659,38215,0.05529174208641052
1540514162.855798,38314,0.016188673675060272
1540514204.571508,38413,0.0547233447432518
1540514296.630406,38611,0.16608606278896332
1540514345.705604,38710,0.029387401416897774
1540514393.76726,38809,0.26916128396987915
1540514441.847386,38908,0.09023984521627426
1540514699.489079,39403,0.2915406823158264
1540514863.552873,39799,0.29243332147598267
1540514905.609427,39898,0.09264170378446579
1540514997.336992,40096,0.006278436165302992
1540515040.012339,40195,0.12395169585943222
1540515131.74294,40393,0.08141443133354187
1540515480.902171,41086,0.013245952315628529
1540515524.743664,41185,0.008210360072553158
1540515656.111916,41482,0.13351404666900635
1540515697.329094,41581,0.005788571201264858
1540515738.030998,41680,0.08717608451843262
1540515783.01086,41779,0.06586219370365143
1540515869.934777,41977,0.13234448432922363
1540515964.591555,42175,0.06925248354673386
1540516071.366623,42373,0.10266513377428055
1540516187.691602,42571,0.12273772060871124
1540516269.717671,42769,0.05004386231303215
1540516395.57815,43066,0.05218292027711868
1540516571.658256,43462,0.0699496939778328
1540516613.498535,43561,0.047190405428409576
1540516656.622792,43660,0.0065214564092457294
1540516706.908864,43759,0.07171829044818878
1540516809.60241,43957,0.05049426108598709
1540516867.995928,44056,0.11798343062400818
1540517014.75241,44353,0.10848825424909592
1540517055.970835,44452,0.04144856333732605
1540517140.070275,44650,0.014804166741669178
1540517266.643969,44947,0.05843131244182587
1540517402.715887,45244,0.010034609586000443
1540517446.805747,45343,0.014304129406809807
1540517496.30629,45442,0.03437168896198273
1540517543.820075,45541,0.02655158005654812
1540517598.940597,45640,0.04482605308294296
1540517711.149004,45838,0.03223433718085289
1540517754.259733,45937,0.10885713994503021
1540517795.035326,46036,0.019647952169179916
1540517836.255575,46135,0.02916104719042778
1540517879.844899,46234,0.2114701271057129
1540517921.822274,46333,0.07384724915027618
1540517968.817283,46432,0.012046972289681435
1540518055.44483,46630,0.048069339245557785
1540518143.100173,46828,0.04416819289326668
1540518187.177581,46927,0.10826843976974487
1540518328.478536,47224,0.04353402554988861
1540518384.34616,47323,0.30912452936172485
1540518579.764867,47719,0.09633660316467285
1540518705.30971,48016,0.03710232302546501
1540518750.568145,48115,0.14224836230278015
1540518832.541144,48313,0.03747381269931793
1540518877.795214,48412,0.1781178116798401
1540518963.905256,48610,0.12239104509353638
1540519060.992214,48808,0.04453146457672119
1540519237.616866,49105,0.2227148860692978
1540519286.633956,49204,0.07351396977901459
1540519535.477663,49798,0.024956298992037773
1540519665.014337,50095,0.09692782908678055
1540519711.886157,50194,0.19063827395439148
1540519760.427336,50293,0.030836045742034912
1540519856.632344,50491,0.007975907064974308
1540519906.278704,50590,0.07750244438648224
1540519964.010386,50689,0.0252369437366724
1540520070.892527,50887,0.004964089021086693
1540520110.889624,50986,0.08522894978523254
1540520154.988399,51085,0.01702895388007164
1540520195.952,51184,0.048737671226263046
1540520236.882945,51283,0.08809149265289307
1540520282.073929,51382,0.010734980925917625
1540520322.744481,51481,0.1149468645453453
